Date,Price,,,,,
9/5/2023,59.00,,,,,
9/6/2023,59.00,,,,,
9/7/2023,58.10,,,,,
9/8/2023,58.20,,,,,
9/11/2023,58.00,,,,,
9/12/2023,57.50,,,,,
9/13/2023,57.70,,,,,
9/14/2023,58.00,,,,,
9/15/2023,57.50,,,,,
9/18/2023,57.00,,,,,
9/19/2023,55.80,,,,,
9/20/2023,56.50,,,,,
9/21/2023,56.10,,,,,
9/22/2023,57.00,,,,,
9/25/2023,55.80,,,,,
9/26/2023,56.50,,,,,
9/27/2023,57.50,,,,,
10/2/2023,56.00,,,,,
10/3/2023,55.10,,,,,
10/4/2023,55.00,,,,,
10/5/2023,55.20,,,,,
10/6/2023,55.40,,,,,
10/9/2023,54.00,,,,,
10/10/2023,54.10,,,,,
10/11/2023,54.00,,,,,
10/12/2023,54.10,,,,,
10/13/2023,54.10,,,,,
10/16/2023,54.00,,,,,
10/17/2023,53.90,,,,,
10/18/2023,53.00,,,,,
10/19/2023,53.00,,,,,
10/20/2023,53.90,,,,,
10/23/2023,54.20,,,,,
10/24/2023,54.00,,,,,
10/25/2023,53.50,,,,,
10/26/2023,53.00,,,,,
10/27/2023,52.90,,,,,
10/30/2023,54.00,,,,,
10/31/2023,53.00,,,,,
11/1/2023,53.10,,,,,
11/2/2023,54.40,,,,,
11/3/2023,53.00,,,,,
11/6/2023,53.00,,,,,
11/7/2023,52.30,,,,,
11/8/2023,54.50,,,,,
11/9/2023,53.90,,,,,
11/10/2023,53.40,,,,,
11/13/2023,54.00,,,,,
11/14/2023,53.70,,,,,
11/15/2023,54.20,,,,,
11/16/2023,54.30,,,,,
11/17/2023,53.00,,,,,
11/20/2023,50.30,,,,,
11/21/2023,52.50,,,,,
11/23/2023,53.30,,,,,
11/24/2023,52.00,,,,,
11/27/2023,50.90,,,,,
11/28/2023,51.00,,,,,
11/29/2023,51.70,,,,,
11/30/2023,52.90,,,,,
12/1/2023,51.20,,,,,
12/4/2023,51.30,,,,,
12/5/2023,51.90,,,,,
12/6/2023,51.20,,,,,
12/7/2023,51.90,,,,,
12/8/2023,52.00,,,,,
12/11/2023,51.10,,,,,
12/12/2023,52.00,,,,,
12/13/2023,52.90,,,,,
12/14/2023,52.00,,,,,
12/15/2023,52.00,,,,,
12/18/2023,51.90,,,,,
12/19/2023,52.00,,,,,
12/20/2023,51.50,,,,,
12/21/2023,51.70,,,,,
12/22/2023,52.60,,,,,
12/27/2023,54.00,,,,,
12/28/2023,55.10,,,,,
12/29/2023,57.00,,,,,
1/2/2024,54.30,,,,,
1/3/2024,56.00,,,,,
1/4/2024,55.00,,,,,
1/5/2024,56.00,,,,,
1/8/2024,55.00,,,,,
1/9/2024,54.20,,,,,
1/10/2024,53.00,,,,,
1/11/2024,54.00,,,,,
1/12/2024,54.50,,,,,
1/16/2024,54.00,,,,,
1/17/2024,54.00,,,,,
1/18/2024,54.00,,,,,
1/19/2024,54.90,,,,,
1/22/2024,53.50,,,,,
1/23/2024,53.50,,,,,
1/24/2024,53.00,,,,,
1/26/2024,53.40,,,,,
1/29/2024,52.50,,,,,
1/30/2024,52.60,,,,,
1/31/2024,54.00,,,,,
2/1/2024,54.00,,,,,
2/2/2024,54.00,,,,,
2/6/2024,54.00,,,,,
2/7/2024,54.00,,,,,
2/8/2024,54.00,,,,,
2/9/2024,55.00,,,,,
2/12/2024,54.60,,,,,
2/13/2024,53.80,,,,,
2/14/2024,55.00,,,,,
2/15/2024,56.00,,,,,
2/16/2024,56.40,,,,,
2/19/2024,57.00,,,,,
2/20/2024,55.70,,,,,
2/21/2024,55.70,,,,,
2/22/2024,55.90,,,,,
2/26/2024,56.00,,,,,
2/27/2024,55.20,,,,,
2/28/2024,56.00,,,,,
2/29/2024,56.60,,,,,
3/1/2024,56.50,,,,,
3/4/2024,56.00,,,,,
3/5/2024,56.10,,,,,
3/6/2024,56.60,,,,,
3/7/2024,56.20,,,,,
3/11/2024,56.90,,,,,
3/12/2024,57.00,,,,,
3/13/2024,56.70,,,,,
3/14/2024,58.00,,,,,
3/15/2024,57.90,,,,,
3/18/2024,58.10,,,,,
3/19/2024,58.70,,,,,
3/20/2024,59.30,,,,,
3/21/2024,58.90,,,,,
3/22/2024,59.00,,,,,
3/25/2024,58.60,,,,,
3/26/2024,59.00,,,,,
3/27/2024,60.00,,,,,
3/28/2024,59.00,,,,,
4/1/2024,60.30,,,,,
4/2/2024,61.20,,,,,
4/3/2024,58.40,,,,,
4/4/2024,57.00,,,,,
4/5/2024,56.90,,,,,
4/8/2024,57.00,,,,,
4/9/2024,57.20,,,,,
4/10/2024,56.50,,,,,
4/15/2024,57.50,,,,,
4/16/2024,56.90,,,,,
4/17/2024,57.00,,,,,
4/18/2024,56.00,,,,,
4/19/2024,56.50,,,,,
4/22/2024,56.40,,,,,
4/24/2024,56.00,,,,,
4/25/2024,56.50,,,,,
4/26/2024,57.00,,,,,
4/29/2024,58.00,,,,,
4/30/2024,58.40,,,,,
5/2/2024,57.30,,,,,
5/3/2024,57.30,,,,,
5/6/2024,57.20,,,,,
5/7/2024,56.90,,,,,
5/8/2024,57.00,,,,,
5/9/2024,57.50,,,,,
5/10/2024,57.20,,,,,
5/13/2024,57.70,,,,,
5/14/2024,58.00,,,,,
5/15/2024,57.20,,,,,
5/16/2024,56.50,,,,,
5/17/2024,56.50,,,,,
5/20/2024,57.40,,,,,
5/21/2024,56.50,,,,,
5/22/2024,56.50,,,,,
5/27/2024,56.50,,,,,
5/28/2024,57.00,,,,,
5/29/2024,56.00,,,,,
5/30/2024,55.00,,,,,
5/31/2024,55.10,,,,,
6/3/2024,55.20,,,,,
6/4/2024,56.40,,,,,
6/5/2024,56.50,,,,,
6/6/2024,57.90,,,,,
6/7/2024,56.30,,,,,
6/10/2024,57.90,,,,,
6/11/2024,57.30,,,,,
6/12/2024,57.00,,,,,
6/13/2024,58.50,,,,,
6/14/2024,58.00,,,,,
6/18/2024,58.00,,,,,
6/19/2024,58.00,,,,,
6/20/2024,58.00,,,,,
6/24/2024,57.50,,,,,
6/25/2024,58.00,,,,,
6/26/2024,58.50,,,,,
6/27/2024,58.80,,,,,
6/28/2024,57.00,,,,,
7/1/2024,57.00,,,,,
7/2/2024,58.00,,,,,
7/3/2024,57.30,,,,,
7/4/2024,57.30,,,,,
7/5/2024,57.30,,,,,
7/8/2024,58.00,,,,,
7/9/2024,57.80,,,,,
7/10/2024,58.00,,,,,
7/11/2024,58.10,,,,,
7/12/2024,58.20,,,,,
